TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
sdiA	-	sdiA7	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdsN	+
rtcR	+	glpEGR	-
rtcR	+	glpR	-
rtcR	+	glpGR	-
rtcR	+	glpR	-
yfbO1	+	yfbO2	+
yfbO1	+	yfbO3	+
yfbO1	+	yfbN1	-
yfbO1	+	yfbP1	+
yfbO2	+	yfbO3	+
yfbO2	+	yfbN1	-
yfbO2	+	yfbN2	-
yfbO2	+	yfbP1	+
yfbO3	+	yfbN1	-
yfbO3	+	yfbN2	-
yfbO3	+	yfbP1	+
yqeF1	-	yqeF2	-
yqeF1	-	yqeF3	-
yqeF2	-	yqeF3	-
yqeF2	-	yqeG1	+
yqeF2	-	yqeG3	+
rimP-nusA-infB	-	metY-yhbC-nusA-infB	-
rimP-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
rimP-nusA-infB	-	nusA-infB	-
rimP-nusA-infB	-	metY	-
rimP-nusA-infB	-	metY	-
moaBCDE	+	moaABCDE	+
moaBCDE	+	moaABCDE	+
yfiR-dgcN-yfiB	+	rpsP-rimM-trmD-rplS	-
yfiR-dgcN-yfiB	+	yfiRN	+
acnA	+	acnA	+
pdhR-aceEF-lpdA	+	aceEF	+
pdhR-aceEF-lpdA	+	pdhR-aceEF-lpdA	+
pdhR-aceEF-lpdA	+	lpdA	+
pdhR-aceEF-lpdA	+	aceEF	+
nrdG	-	nrdDG	-
nhaAR	+	nhaAR	+
leuL	-	leuLABCD	-
glmUS	-	glmUS	-
rhtC1	+	recQ	+
mnmG-rsmG	-	mnmG-rsmG	-
mnmG-rsmG	-	asnC-mioC-mnmG	-
fucR	+	fucPIKUR	+
alsRBACE	-	alsRBACE	-
alsRBACE	-	alsK1	-
alsRBACE	-	alsBACE	-
ilvEDA	+	ilvLXG_1G_2MEDA	+
ilvEDA	+	ilvLXG_1G_2MEDA	+
ilvEDA	+	ilvA	+
ilvEDA	+	ilvY	-
hisLGDCBHAFI	+	hisL	+
cmk-rpsA	+	rpsA-ihfB	+
yeeO1	-	yeeO2	-
yeeO1	-	yeeO3	-
yeeO2	-	yeeO3	-
ydhYVW	-	ydhYVWXUT	-
yhbY	+	rlmE-ftsH	-
metG	+	metG	+
tig1	+	tig2	+
tig1	+	tig3	+
tig1	+	tig	+
tig1	+	tig	+
tig2	+	tig3	+
tig2	+	tig	+
tig2	+	tig	+
tig3	+	tig	+
tig3	+	tig	+
iap1	+	iap2	+
rrsA-ileT-alaT-rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
rnc-era-recO-pdxJ-acpS	-	rnc-era	-
rnc-era-recO-pdxJ-acpS	-	pdxJ-acpS	-
tdcBCDEFG	-	tdcABCDEFG	-
ftsQAZ	+	stfZ	-
ftsQAZ	+	ftsQAZ	+
ftsQAZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQAZ	+	ftsZ	+
ftsQAZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQAZ	+	stfZ	-
ftsQAZ	+	stfZ	-
ftsQAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
relBE-hokD	-	relBE	-
relBE-hokD	-	hokD	-
tig	+	tig	+
sraB	+	yceF1	-
sraB	+	yceF2	-
sraB	+	yceF3	-
sraB	+	yceF4	-
hypABCDE-fhlA	+	hypBCDE-fhlA	+
hypABCDE-fhlA	+	hypBCDE	+
hypABCDE-fhlA	+	hypABCDE	+
purR	+	ydhB1	-
lpp	+	lpp	+
sdiA	-	sdiA1	-
sdiA	-	sdiA2	-
sdiA	-	sdiA3	-
sdiA	-	sdiA4	-
sdiA	-	sdiA5	-
sdiA	-	sdiA6	-
sdiA	-	sdiA7	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdiA	-
sdiA	-	sdsN	+
glgAP	-	glgCAP	-
glgAP	-	glgCAP	-
glgAP	-	glgBXCAP	-
yhhX1	-	yhhX2	-
yhhX1	-	ryhB	-
topA	+	topA	+
topA	+	yciN1	-
topA	+	yciN4	-
topA	+	topA	+
topA	+	topA	+
topA	+	topA	+
yqeC1	-	yqeC2	-
yqeC1	-	mocA1	+
yqeC2	-	mocA1	+
rpoS	-	rpoS	-
rpoS	-	nlpD-rpoS	-
rpoS	-	rpoS	-
rpoS	-	rpoS	-
gcd	-	gcd	-
yjfIJ	+	nsrR-rnr-rlmB-yjfI	+
yceH1	+	yceH2	+
yceH1	+	rimJ	+
yceH2	+	rimJ	+
cobUST	-	cobUST	-
cydAB	+	cydAB	+
cydAB	+	cydAB	+
cydAB	+	cydAB	+
cydAB	+	cydAB	+
deoBD	+	deoCABD	+
deoBD	+	yjjJ2	+
deoBD	+	deoCABD	+
deoBD	+	deoABD	+
ansB	-	ansB	-
dnaB	+	alr	+
dnaB	+	alr	+
dnaB	+	qorA	-
arrS	-	arrS	-
ybgS1	-	ybgS2	-
ybgS1	-	ybgS3	-
ybgS1	-	ybgS4	-
ybgS1	-	ybgS5	-
ybgS2	-	ybgS3	-
ybgS2	-	ybgS4	-
ybgS2	-	ybgS5	-
ybgS3	-	ybgS4	-
ybgS3	-	ybgS5	-
ybgS4	-	ybgS5	-
yhgF1	+	greB1	+
yhgF1	+	greB2	+
fumD1	-	fumD2	-
citT1	-	citT2	-
citT2	-	citCDEFXG	-
citT2	-	citCDEFXG	-
yibN1	-	yibN2	-
yibN1	-	yibN-grxC-secB-gpsA	-
yibN2	-	yibN-grxC-secB-gpsA	-
recF	-	dnaN-recF	-
recF	-	dnaN-recF	-
recF	-	dnaAN-recF	-
recF	-	dnaN-recF	-
recF	-	dnaN-recF	-
recF	-	dnaN-recF	-
recF	-	dnaN-recF	-
recF	-	gyrB	-
recF	-	gyrB	-
recF	-	dnaN-recF	-
recF	-	dnaAN-recF	-
recF	-	recF	-
narUZYWV	-	narU	-
narUZYWV	-	narZYWV	-
narUZYWV	-	narU	-
narUZYWV	-	narWV	-
nagC	-	nagC	-
nagC	-	nagA	-
tapT-patZ	+	patZ	+
tsr	+	tsr	+
hydN-hypF	-	hypF	-
hydN-hypF	-	hypF	-
hydN-hypF	-	hypF	-
tyrS-pdxY	-	pdxY	-
tyrS-pdxY	-	pdxH-tyrS-pdxY	-
yggDC	-	cmtBA-yggPF-fumE-yggC	-
sanA-yeiS1	+	cdd	+
ubiD1	+	ubiD2	+
ubiD1	+	fre	+
ubiD2	+	fre	+
ubiD2	+	rfaH1	-
ubiD2	+	rfaH2	-
gor	+	rlmJ	+
clsC	+	ymdAB-clsC	+
clsC	+	ymdB-clsC	+
clsC	+	ymdAB	+
fliAZY	-	fliAZY	-
dgcQ	-	yedP	+
putP	+	putP	+
putP	+	putP	+
putP	+	putP	+
putP	+	putP	+
tag-yiaC	+	bisC1	-
tag-yiaC	+	bisC2	-
tag-yiaC	+	bisC3	-
tag-yiaC	+	bisC4	-
dnaN-recF	-	dnaN-recF	-
dnaN-recF	-	dnaAN-recF	-
dnaN-recF	-	dnaN-recF	-
dnaN-recF	-	dnaN-recF	-
dnaN-recF	-	dnaN-recF	-
dnaN-recF	-	dnaN-recF	-
dnaN-recF	-	gyrB	-
dnaN-recF	-	gyrB	-
dnaN-recF	-	dnaN-recF	-
dnaN-recF	-	dnaAN-recF	-
dnaN-recF	-	recF	-
argT-hisJQMP	-	hisJQMP	-
arcA	-	yjjY1	+
arcA	-	arcA	-
arcA	-	arcA	-
arcA	-	creABCD	+
arcA	-	creD	+
arcA	-	arcA	-
mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC2	+
mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
ydcA1	+	ydcA2	+
mdtEF	+	gadEF-mdtEF	+
mdtEF	+	gadE-mdtEF	+
mdtEF	+	mdtEF	+
rnb	-	rnb	-
rpmF-plsX-fabHDG	+	fabG-acpP	+
rpmF-plsX-fabHDG	+	yceD-rpmF	+
rpmF-plsX-fabHDG	+	fabDG-acpP	+
rpmF-plsX-fabHDG	+	plsX-fabHDG	+
rpmF-plsX-fabHDG	+	fabHDG	+
stpA	-	stpA	-
stpA	-	stpA	-
groSL	+	groL	+
groSL	+	groL	+
groSL	+	groL	+
sdiA1	-	sdiA2	-
sdiA1	-	sdiA3	-
sdiA1	-	sdiA4	-
sdiA1	-	sdiA5	-
sdiA1	-	sdiA6	-
sdiA1	-	sdiA7	-
sdiA1	-	sdiA	-
sdiA1	-	sdiA	-
sdiA1	-	sdiA	-
sdiA1	-	sdiA	-
sdiA2	-	sdiA3	-
sdiA2	-	sdiA4	-
sdiA2	-	sdiA5	-
sdiA2	-	sdiA6	-
sdiA2	-	sdiA7	-
sdiA2	-	sdiA	-
sdiA2	-	sdiA	-
sdiA2	-	sdiA	-
sdiA2	-	sdiA	-
sdiA2	-	sdsN	+
sdiA3	-	sdiA4	-
sdiA3	-	sdiA5	-
sdiA3	-	sdiA6	-
sdiA3	-	sdiA7	-
sdiA3	-	sdiA	-
sdiA3	-	sdiA	-
sdiA3	-	sdiA	-
sdiA3	-	sdiA	-
sdiA4	-	sdiA5	-
sdiA4	-	sdiA6	-
sdiA4	-	sdiA7	-
sdiA4	-	sdiA	-
sdiA4	-	sdiA	-
sdiA4	-	sdiA	-
sdiA4	-	sdiA	-
sdiA4	-	sdsN	+
sdiA5	-	sdiA6	-
sdiA5	-	sdiA7	-
sdiA5	-	sdiA	-
sdiA5	-	sdiA	-
sdiA5	-	sdiA	-
sdiA5	-	sdiA	-
sdiA6	-	sdiA7	-
sdiA6	-	sdiA	-
sdiA6	-	sdiA	-
sdiA6	-	sdiA	-
sdiA6	-	sdiA	-
sdiA6	-	sdsN	+
sdiA7	-	sdiA	-
sdiA7	-	sdiA	-
sdiA7	-	sdiA	-
sdiA7	-	sdiA	-
sdiA7	-	sdsN	+
yhdH1	+	yhdH2	+
yhdH2	+	csrD1	-
hsdMS	-	hsdRMS	-
galK	-	galETK	-
galK	-	galETKM	-
galK	-	galETK	-
galK	-	galETKM	-
galK	-	galET	-
galK	-	galET	-
galK	-	galETKM	-
galK	-	galE	-
galK	-	galETK	-
galK	-	galETKM	-
galK	-	galET	-
galK	-	galE	-
greA	-	greA	-
yceF1	-	yceF2	-
yceF1	-	yceF3	-
yceF1	-	yceF4	-
yceF2	-	yceF3	-
yceF2	-	yceF4	-
yceF3	-	yceF4	-
argH	+	argCBH	+
pykF	+	pykF	+
pykF	+	pykF	+
pykF	+	pykF	+
pykF	+	pykF	+
ilvLXG_1G_2MEDA	+	ilvLXG_1G_2MEDA	+
ilvLXG_1G_2MEDA	+	ilvA	+
ilvLXG_1G_2MEDA	+	ilvY	-
ilvLXG_1G_2MEDA	+	ilvL	+
ilvLXG_1G_2MEDA	+	ilvA	+
ilvLXG_1G_2MEDA	+	ilvY	-
ilvLXG_1G_2MEDA	+	ilvL	+
glyU1	-	glyU	-
mreB	-	mreBCD	-
mreB	-	mreCD	-
mreB	-	mreBCD	-
mreB	-	mreB	-
mreB	-	mreBCD	-
mreB	-	mreB	-
argR	+	argR	+
rhoL-rho	+	rhoL	+
iraP	+	iraP	+
lon	+	lon	+
lon	+	clpX-lon	+
gabDTP	+	csiD-ygaF-gabDTP	+
gabDTP	+	gabDTP	+
focA-pflB	-	pflB	-
focA-pflB	-	pflB	-
focA-pflB	-	pflB	-
focA-pflB	-	pflB	-
focA-pflB	-	focA-pflB	-
ymiA-yciX	+	acnA	+
glnAZLG	-	glnLG	-
glnAZLG	-	glnAZLG	-
glnAZLG	-	glnLG	-
glnAZLG	-	glnAZ	-
glgS	-	glgS	-
gpmA	-	gpmA	-
gpmA	-	gpmA	-
yihUTS	-	yihUTS	-
yihUTS	-	yihUTS	-
yihUTS	-	yihUTS	-
yihUTS	-	yihUTS	-
menA-rraA	-	menA-rraA	-
menA-rraA	-	rraA	-
menA-rraA	-	hslVU	-
ydiNB-aroD	+	aroD	+
nudE1	-	nudE2	-
nudE1	-	nudE3	-
nudE1	-	nudE4	-
nudE2	-	nudE3	-
nudE2	-	nudE4	-
nudE3	-	nudE4	-
lsrK	-	lsrRK	-
pmrD1	-	pmrD2	-
pmrD1	-	arnBCADTEF	+
pmrD2	-	arnBCADTEF	+
cysK	+	cysK	+
ydcF1	+	ydcF2	+
fimAICDFGH	+	fimE	+
malPQ	-	malQ	-
galETK	-	galETKM	-
galETK	-	galETK	-
galETK	-	galETKM	-
galETK	-	galET	-
galETK	-	galET	-
galETK	-	galETKM	-
galETK	-	galE	-
galETK	-	galETK	-
galETK	-	galETKM	-
galETK	-	galET	-
galETK	-	galE	-
galETK	-	galE	-
ynfK1	-	ynfK2	-
ynfK1	-	clcB	+
ynfK2	-	clcB	+
ybeU-djlC1	+	ybeU-djlC2	+
yjbQR	+	uvrA	-
leuQPV	-	leuV1	-
yfhG	-	glrR-glnB	-
yfhG	-	yfhA	-
creABC	+	creABCD	+
creABC	+	rob	-
nudB-yebC-ruvC	-	yebC-ruvC	-
nudB-yebC-ruvC	-	ruvC	-
nudB-yebC-ruvC	-	yebB	+
nudB-yebC-ruvC	-	aspS	-
nudB-yebC-ruvC	-	yebB	+
ldrA1	-	rdlA1	+
ycaD1	+	ycaD2	+
acrD	+	acrD	+
acrB	-	acrAB	-
nupG	+	yggX-mltC-nupG	+
nupG	+	mutY-yggX-mltC-nupG	+
nupG	+	mutY-yggX-mltC-nupG	+
cydDC	-	trxB	-
yebC-ruvC	-	ruvC	-
yebC-ruvC	-	yebB	+
yebC-ruvC	-	yebB	+
rlmI1	-	yccX1	+
rlmI1	-	yccX2	+
nrdR-ribDE-nusB-thiL-pgpA	+	yajI1	-
gatYZABCD	-	gatZABCD	-
cydAB	+	cydAB	+
cydAB	+	cydAB	+
cydAB	+	cydAB	+
pdxK	-	yfeKS	+
cspA	+	cspA	+
lysC	-	lysC	-
uof-fur	-	fur	-
uof-fur	-	fldA-uof-fur	-
uof-fur	-	fur	-
narU	-	narU	-
astCADBE	-	astCADBE	-
astCADBE	-	astCADBE	-
proP	+	proP	+
psd-mscM	-	rsgA1	-
yiaB1	-	yiaB2	-
yiaB1	-	yiaB3	-
yiaB2	-	yiaB3	-
mazE1	-	mazE2	-
mazE1	-	mazEFG	-
mazE1	-	mazEFG	-
mazE1	-	relA-mazEF	-
mazE1	-	relA-mazEF	-
mazE1	-	ameF	+
mazE2	-	mazEFG	-
mazE2	-	mazEFG	-
mazE2	-	relA-mazEF	-
mazE2	-	relA-mazEF	-
mazE2	-	ameF	+
galETKM	-	galETK	-
galETKM	-	galETKM	-
galETKM	-	galET	-
galETKM	-	galET	-
galETKM	-	galETKM	-
galETKM	-	galE	-
galETKM	-	galETK	-
galETKM	-	galETKM	-
galETKM	-	galET	-
galETKM	-	galE	-
galETKM	-	galE	-
osmE	-	osmE	-
ryeA	+	sdsR	-
ryeA	+	sdsR-pphA	-
ryeA	+	sdsR-pphA	-
yqfA1	-	yqfA2	-
yqfA2	-	yqfB	-
glrR-glnB	-	glnB	-
glrR-glnB	-	glnB	-
glrR-glnB	-	yfhA	-
glrR-glnB	-	glnB	-
pdxB-usg-truA-dedA	-	usg-truA-dedA	-
efp	+	epmB1	-
dkgB	+	yafC1	-
ykfGH-yafW-ykfI	-	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	-
ykfGH-yafW-ykfI	-	ykfBF-yafX-ykfGH-yafW-ykfI	-
ykfGH-yafW-ykfI	-	ykfBF-yafX-ykfGH-yafW-ykfI	-
zapC	+	ycbX	-
tolC-ygiBC	+	tolC-ygiBC	+
tolC-ygiBC	+	tolC-ygiBC	+
fimB	+	fimB	+
fimB	+	fimB1	+
fimB	+	fimB2	+
tpke70	-	lpxP	+
yjjY1	+	arcA	-
yjjY1	+	arcA	-
yjjY1	+	arcA	-
fliE	-	fliE	-
fliE	-	intG	+
smrB1	+	smrB2	+
smrB1	+	prmB-aroC-mepA-yfcA-epmC-yfcL	-
rplKAJL-rpoBC	+	rplL	+
rplKAJL-rpoBC	+	rplJL-rpoBC	+
rplKAJL-rpoBC	+	secE-nusG	+
gcvR	+	bcp	+
gcvR	+	gcvR	+
pnp	-	sraG	+
pnp	-	nlpI1	-
pnp	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
pnp	-	rpsO-pnp	-
topA	+	topA	+
topA	+	topA	+
topA	+	topA	+
lysA	-	lysR	+
ucpA	-	ucpA	-
yfdRST	+	ypdJ	+
phoQ	-	phoPQ	-
phoQ	-	phoPQ	-
phoQ	-	phoPQ	-
mreBCD	-	mreCD	-
mreBCD	-	mreBCD	-
mreBCD	-	mreB	-
mreBCD	-	mreBCD	-
mreBCD	-	mreB	-
pflB	-	pflB	-
pflB	-	pflB	-
pflB	-	pflB	-
pflB	-	focA-pflB	-
yadV-htrE	-	yadV-htrE	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
serC	+	serC	+
serC	+	serC-aroA	+
rem1	-	rem2	-
grcA	-	grcA	-
rfaDFCL	+	rfaDFCL	+
rfaDFCL	+	rfaDFCL	+
ddpXABCDF	-	ddpXABCDF	-
ddpXABCDF	-	ddpXABCDF	-
manXYZ-yobD	+	yobD	+
gadW	-	gadXW	-
gadW	-	gadW	-
gntXY	+	bioH	-
gntXY	+	nfuA	+
yiaWV	-	yiaU1	+
yiaWV	-	yiaU2	+
yiaWV	-	yiaU3	+
edd-eda	-	eda	-
edd-eda	-	eda	-
edd-eda	-	eda	-
osmF-yehYXW	-	osmF-yehYXW1	-
yidP	+	yidE1	-
mreCD	-	mreBCD	-
mreCD	-	mreB	-
mreCD	-	mreBCD	-
mreCD	-	mreB	-
gadEF-mdtEF	+	gadE-mdtEF	+
gadEF-mdtEF	+	mdtEF	+
yaiI1	+	yaiI2	+
yaiI1	+	yaiI3	+
yaiI2	+	yaiI3	+
ybeD-lipB	-	ybeD1	-
ybeD-lipB	-	ybeD2	-
ybeD-lipB	-	lipB1	-
ybeD-lipB	-	lipB2	-
smg	-	smf	-
rnd	-	fadD-sroD	-
ychF	-	pth-ychF	-
frr	+	dxr-uppS-cdsA1	+
frr	+	dxr-uppS-cdsA2	+
frr	+	dxr-uppS-cdsA3	+
frr	+	dxr-uppS-cdsA4	+
htrG-cca	+	ygiM	+
yihUTS	-	yihUTS	-
yihUTS	-	yihUTS	-
yihUTS	-	yihUTS	-
ompL1	-	yihPO	-
hcp-hcr	-	hcp-hcr	-
hcp-hcr	-	lysO	-
hcp-hcr	-	hcp-hcr-poxB	-
bamB-der	-	yfgM	-
bamB-der	-	yfGM	-
flhDC	-	motRAB-cheAW	-
flhDC	-	insA5B5AB5	-
hypBCDE-fhlA	+	hypBCDE	+
hypBCDE-fhlA	+	hypABCDE	+
yaaJ1	-	yaaA1	-
yaaJ1	-	yaaA2	-
btuE	-	btuE	-
btuE	-	btuCED	-
bglGFB	-	bglG	-
stpA	-	stpA	-
rclABC	-	rclBC	-
potFGHI	+	ybjO-rlmC2	+
potFGHI	+	potFGHI	+
speAB	-	yqgB1	-
speAB	-	yqgB2	-
speAB	-	speB	-
radA-nadR	+	serB-radA	+
nanCMS	-	nanCM	-
nanCMS	-	nanS1	-
yfiL1	+	yfiL2	+
yfiL1	+	yfiL3	+
yfiL2	+	yfiL3	+
pfkB	+	pfkB	+
fumB	-	dcuB-fumB	-
fumB	-	dcuB-fumB	-
ompC	-	ompC	-
ompC	-	ompC	-
zitB1	-	zitB2	-
zitB1	-	nadAp // pnuC // nadA	+
zitB2	-	nadAp // pnuC // nadA	+
hemF	+	hemF	+
hemF	+	hemF	+
hemF	+	amiA-hemF	+
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	-	ykfBF-yafX-ykfGH-yafW-ykfI	-
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	-	ykfBF-yafX-ykfGH-yafW-ykfI	-
surA-pdxA-rsmA-apaGH	-	pdxA-rsmA	-
surA-pdxA-rsmA-apaGH	-	apaGH	-
surA-pdxA-rsmA-apaGH	-	imp-surA-pdxA	-
surA-pdxA-rsmA-apaGH	-	pdxA-rsmA-apaGH	-
surA-pdxA-rsmA-apaGH	-	rsmA-apaGH	-
rpsT	-	rpsT	-
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	queG	-
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC2	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
mngB	+	mngB	+
mngB	+	mngAB	+
mngB	+	mngAB	+
ygiW1	-	ygiW2	-
ygiW1	-	qseBC	+
ygiW1	-	qseBC	+
ybeQ1	-	ybeQ2	-
ybeQ1	-	ybeQ3	-
ybeQ1	-	ybeQ4	-
ybeQ1	-	ybeQ5	-
ybeQ1	-	ybeQ6	-
ybeQ1	-	ybeR-djlB2	+
ybeQ2	-	ybeQ3	-
ybeQ2	-	ybeQ4	-
ybeQ2	-	ybeQ5	-
ybeQ2	-	ybeQ6	-
ybeQ2	-	ybeR-djlB1	+
ybeQ2	-	ybeR-djlB2	+
ybeQ2	-	ybeR-djlB3	+
ybeQ3	-	ybeQ4	-
ybeQ3	-	ybeQ5	-
ybeQ3	-	ybeQ6	-
ybeQ3	-	ybeR-djlB2	+
ybeQ3	-	ybeR-djlB3	+
ybeQ4	-	ybeQ5	-
ybeQ4	-	ybeQ6	-
ybeQ4	-	ybeR-djlB2	+
ybeQ4	-	ybeR-djlB3	+
ybeQ5	-	ybeQ6	-
ybeQ5	-	ybeR-djlB1	+
ybeQ5	-	ybeR-djlB2	+
ybeQ5	-	ybeR-djlB3	+
ybeQ6	-	ybeR-djlB1	+
ybeQ6	-	ybeR-djlB2	+
ybeQ6	-	ybeR-djlB3	+
rlmM	-	ygdD1	-
appCBA-yccB	+	appCBA-yccB	+
appCBA-yccB	+	appA	+
rfaQGPSBIJYZ-waaU	-	rfaYZ	-
rfaQGPSBIJYZ-waaU	-	rirA-rfaQGPSBIJYZ-waaU	-
ydhYVWXUT	-	ydhXUT	-
insK	+	insJ1	+
endA	+	endA	+
lapAB	+	lapAB	+
lapAB	+	yciSM-pyrF-yciH	+
lapAB	+	lapAB	+
lapAB	+	yciSM-pyrF-yciH	+
murQP	+	murQP	+
murQP	+	murQP	+
murQP	+	murQP-yfeW	+
murQP	+	murR	-
murQP	+	murR	-
ydbK-ompN	-	micC	+
ydbK-ompN	-	ydbK	-
ydbK-ompN	-	ydbK-ompN	-
pykA	+	pykA	+
pykA	+	pykA	+
yagN1	-	yagN2	-
yagN1	-	yagN3	-
yagN1	-	yagN4	-
yagN2	-	yagN3	-
yagN2	-	yagN4	-
yagN3	-	yagN4	-
hslO1	+	hslO2	+
hslO1	+	yrfG-hslR	+
hslO1	+	hslR-hslO	+
hslO2	+	yrfG-hslR	+
hslO2	+	hslR-hslO	+
ybcK1	+	ybcK2	+
ybcK1	+	ybcK3	+
ybcK2	+	ybcK3	+
mpaA1	-	mpaA2	-
mpaA1	-	mpaA3	-
mpaA1	-	ycjY-ymjDC-mpaA	-
mpaA1	-	ymjC-mpaA	-
mpaA1	-	ycjG	+
mpaA2	-	mpaA3	-
mpaA2	-	ycjY-ymjDC-mpaA	-
mpaA2	-	ymjC-mpaA	-
mpaA2	-	ycjG	+
mpaA3	-	ycjY-ymjDC-mpaA	-
mpaA3	-	ymjC-mpaA	-
mpaA3	-	ycjG	+
yheSTU	+	prkB	+
mppA1	+	mppA2	+
mppA1	+	mppA3	+
mppA1	+	mppA4	+
mppA2	+	mppA3	+
mppA2	+	mppA4	+
mppA3	+	mppA4	+
yfaX-rhmD	-	yfaXWVU	-
paaJ	+	paaJ	+
paaJ	+	paaJ	+
paaJ	+	paaABCDEFGHIJK	+
eno	-	eno	-
eno	-	eno	-
eno	-	pyrG-eno	-
eno	-	eno	-
eno	-	pyrG-eno	-
eno	-	eno	-
eno	-	eno	-
cyaR	+	cyaR	+
tufA	-	fusA-tufA	-
tufA	-	tufA	-
dcuB-fumB	-	dcuB-fumB	-
pfkA	+	pfkA	+
pfkA	+	pfkA	+
pfkA	+	pfkA	+
rpsP-rimM-trmD-rplS	-	ffh	-
selD-topB	-	selD-topB	-
selD-topB	-	ydjA-selD-topB	-
trxA	+	trxA	+
trxA	+	trxA	+
yraH1	+	yraH2	+
yraH1	+	yraH3	+
yraH1	+	yraH4	+
yraH1	+	yraH5	+
