TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ybhD1	-	ybhH2	+	ybhD1ybhH2
ybhD2	-	ybhH1	+	ybhD2ybhH1
trpLEDCBA	-	trpCBA	-	trpLEDCBAtrpCBA
trpLEDCBA	-	trpL	-	trpLEDCBAtrpL
uxaB1	-	uxaB	-	uxaB1uxaB
gnsA	+	ymcE-gnsA1	+	gnsAymcE-gnsA1
leuU	-	secG1	-	leuUsecG1
leuU	-	secG-leuU	-	leuUsecG-leuU
yhfK	+	crp	+	yhfKcrp
cbpA-cbpM	-	cbpAM	-	cbpA-cbpMcbpAM
ymfJ2	-	ymfI1	+	ymfJ2ymfI1
tesB	-	glnK-amtB	+	tesBglnK-amtB
tyrS-pdxY	-	pdxY	-	tyrS-pdxYpdxY
tyrS-pdxY	-	pdxH-tyrS-pdxY	-	tyrS-pdxYpdxH-tyrS-pdxY
xseA	+	yfgJ	-	xseAyfgJ
aroM	+	yaiA-aroM	+	aroMyaiA-aroM
aroM	+	aroL-yaiA-aroM	+	aroMaroL-yaiA-aroM
leuLABCD	-	leuL	-	leuLABCDleuL
rsmB1	+	def-fmt	+	rsmB1def-fmt
caiCDE	-	caiTABCDE	-	caiCDEcaiTABCDE
chaC	+	chaBC	+	chaCchaBC
argE	-	argCBH	+	argEargCBH
amiC2	-	argA	+	amiC2argA
yfiM1	+	pssA	+	yfiM1pssA
yfiM1	+	kgtP1	-	yfiM1kgtP1
yobA-yebZY	-	sdsR-pphA	-	yobA-yebZYsdsR-pphA
trkG1	+	ynaK-ydaY2	+	trkG1ynaK-ydaY2
asnU	+	yeeO2	-	asnUyeeO2
asnU	+	cbl	-	asnUcbl
yceD-rpmF	+	sraB	+	yceD-rpmFsraB
yceD-rpmF	+	rpmF-plsX-fabHDG	+	yceD-rpmFrpmF-plsX-fabHDG
yceD-rpmF	+	yceF3	-	yceD-rpmFyceF3
mdtEF	+	gadEF-mdtEF	+	mdtEFgadEF-mdtEF
mdtEF	+	gadE-mdtEF	+	mdtEFgadE-mdtEF
epd-pgk	-	epd-pgk-fbaA	-	epd-pgkepd-pgk-fbaA
epd-pgk	-	pgk-fbaA	-	epd-pgkpgk-fbaA
epd-pgk	-	pgk	-	epd-pgkpgk
rpoBC	+	rplKAJL-rpoBC	+	rpoBCrplKAJL-rpoBC
rpoBC	+	rplJL-rpoBC	+	rpoBCrplJL-rpoBC
fepDGC	-	fes-ybdZ-entF-fepE	+	fepDGCfes-ybdZ-entF-fepE
ilvY	-	ilvEDA	+	ilvYilvEDA
ilvY	-	ilvLXG_1G_2MEDA	+	ilvYilvLXG_1G_2MEDA
yghT1	+	yghSR	-	yghT1yghSR
talA	+	talA-tktB	+	talAtalA-tktB
talA	+	tktB	+	talAtktB
yecH1	-	tyrP	+	yecH1tyrP
fliDST	+	amyA	+	fliDSTamyA
hslJ	-	ydbJ	+	hslJydbJ
yefM-yoeB	-	yeeZ1	-	yefM-yoeByeeZ1
mtlADR	+	yibT1	-	mtlADRyibT1
cbrA1	+	yidR1	-	cbrA1yidR1
cbrA1	+	dgoRKADT	-	cbrA1dgoRKADT
ycjMNOPQRSTUV-ymjB-ompG	+	ompG	+	ycjMNOPQRSTUV-ymjB-ompGompG
dgkA	+	plsB	-	dgkAplsB
pflB	-	focA-pflB	-	pflBfocA-pflB
kdsC-lptCAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+	kdsC-lptCABlptB-rpoN-hpf-ptsN-yhbJ
kdsC-lptCAB	+	lptAB	+	kdsC-lptCABlptAB
kdsC-lptCAB	+	rpoN-hpf-ptsN-yhbJ-npr	+	kdsC-lptCABrpoN-hpf-ptsN-yhbJ-npr
kdsC-lptCAB	+	yrbG-kdsDC-lptCAB	+	kdsC-lptCAByrbG-kdsDC-lptCAB
kdsC-lptCAB	+	yrbG-kdsD	+	kdsC-lptCAByrbG-kdsD
cbpAM	-	cbpA-cbpM	-	cbpAMcbpA-cbpM
gadEF	+	arrS	-	gadEFarrS
dnaKJ	+	tpke11	+	dnaKJtpke11
ybeD-lipB	-	ybeD1	-	ybeD-lipBybeD1
ybeD-lipB	-	lipB1	-	ybeD-lipBlipB1
pcnB-folk	-	dksA-gluQ	-	pcnB-folkdksA-gluQ
ompN	-	ydbK-ompN	-	ompNydbK-ompN
thrU-tyrU-glyT-thrT-tufB	+	secE-nusG	+	thrU-tyrU-glyT-thrT-tufBsecE-nusG
acnA	+	ymiA-yciX	+	acnAymiA-yciX
ahpCF	+	ahpF	+	ahpCFahpF
chiZPQ	+	chiQ	+	chiZPQchiQ
ycgR	-	ymgE1	+	ycgRymgE1
elbB-mtgA	-	yrbL	+	elbB-mtgAyrbL
insMI3	-	insN-2	+	insMI3insN-2
pstSCAB-phoU	-	pstB-phoU	-	pstSCAB-phoUpstB-phoU
pstSCAB-phoU	-	pstS	-	pstSCAB-phoUpstS
pstSCAB-phoU	-	pstCAB-phoU	-	pstSCAB-phoUpstCAB-phoU
pstSCAB-phoU	-	phoU	-	pstSCAB-phoUphoU
gcvA	-	ygdD1	-	gcvAygdD1
yjbEFGH	+	yjbE	+	yjbEFGHyjbE
metH	+	iclR	-	metHiclR
kefGB-yheV	-	slyD1	-	kefGB-yheVslyD1
rpoE-rseABC	-	rseABC	-	rpoE-rseABCrseABC
rpoE-rseABC	-	rseD-rpoE-rseABC	-	rpoE-rseABCrseD-rpoE-rseABC
pdxI1	+	ydbD	+	pdxI1ydbD
mrcA	+	hofMNOP	-	mrcAhofMNOP
rpmBG	-	rpmBG-mutM	-	rpmBGrpmBG-mutM
rpmBG	-	mutM1	-	rpmBGmutM1
rpmBG	-	yicR-rpmBG	-	rpmBGyicR-rpmBG
rpmBG	-	yicR-rpmBG-mutM	-	rpmBGyicR-rpmBG-mutM
nlpC2	-	btuD	-	nlpC2btuD
nlpC2	-	btuCED	-	nlpC2btuCED
umpG-pcm	-	truD	-	umpG-pcmtruD
lacZYA	-	cynTSX	+	lacZYAcynTSX
ompR-envZ	-	greB2	+	ompR-envZgreB2
gor	+	rlmJ	+	gorrlmJ
rsmG1	-	mnmG-rsmG	-	rsmG1mnmG-rsmG
rsmG1	-	asnC-mioC-mnmG	-	rsmG1asnC-mioC-mnmG
rne	-	yceQ1	+	rneyceQ1
acpP	+	fabG-acpP	+	acpPfabG-acpP
acpP	+	fabDG-acpP	+	acpPfabDG-acpP
acpP	+	acpP-fabF	+	acpPacpP-fabF
yfdX	-	frc	-	yfdXfrc
yfdX	-	oxc1	-	yfdXoxc1
rsxABCDGE-nth	+	ydgK-rsxABCDGE-nth	+	rsxABCDGE-nthydgK-rsxABCDGE-nth
yjgD	+	rraB	+	yjgDrraB
ybiX1	-	fiu	-	ybiX1fiu
tesA-ybbO	-	ybbN	-	tesA-ybbOybbN
tesA-ybbO	-	ybbAP	+	tesA-ybbOybbAP
fabF	+	pabC-mltG-tmk-holB-ycfH3	+	fabFpabC-mltG-tmk-holB-ycfH3
fabF	+	acpP-fabF	+	fabFacpP-fabF
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+	tsaE-amiB-mutL-miaA-hfq-hflXKCmutL-miaA-hfq-hflXKC
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	tsaE-amiB-mutL-miaA-hfq-hflXKCyjeFE-amiB-mutL-miaA-hfq-hflXKC
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+	tsaE-amiB-mutL-miaA-hfq-hflXKChfq-hflXKC
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+	tsaE-amiB-mutL-miaA-hfq-hflXKCmiaA-hfq-hflXKC
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+	tsaE-amiB-mutL-miaA-hfq-hflXKChfq-hflXKC1
ldrC1	-	rdlC1	+	ldrC1rdlC1
ycgZ-ymgA-ariR-ymgC	+	ariR	+	ycgZ-ymgA-ariR-ymgCariR
ycgZ-ymgA-ariR-ymgC	+	ymgC	+	ycgZ-ymgA-ariR-ymgCymgC
uppS-cdsA	+	dxr-uppS-cdsA1	+	uppS-cdsAdxr-uppS-cdsA1
uppS-cdsA	+	rseP	+	uppS-cdsArseP
uppS-cdsA	+	cdsA1	+	uppS-cdsAcdsA1
rph-pyrE	-	rph	-	rph-pyrErph
macB1	+	macAB	+	macB1macAB
csrA	-	csrAp3 // csrA	-	csrAcsrAp3 // csrA
micA	+	luxS	-	micAluxS
insH-51	-	stfR-tfaR	+	insH-51stfR-tfaR
insH-51	-	ynaA-lomR	+	insH-51ynaA-lomR
recAX	-	recA	-	recAXrecA
aspS	-	nudB-yebC-ruvC	-	aspSnudB-yebC-ruvC
tcyJ	-	fliAZY	-	tcyJfliAZY
thrLABC	+	thrL	+	thrLABCthrL
thrLABC	+	yaaX1	+	thrLABCyaaX1
malY	+	malXY	+	malYmalXY
ymdB	+	clsC	+	ymdBclsC
ymdB	+	ymdB-clsC	+	ymdBymdB-clsC
yeaP	+	yoaF1	-	yeaPyoaF1
dacB1	+	greA	-	dacB1greA
phoA-psiF	+	psiF	+	phoA-psiFpsiF
ygiV1	-	ygiW2	-	ygiV1ygiW2
ygiV2	-	ygiW1	-	ygiV2ygiW1
rpmBG-mutM	-	mutM	-	rpmBG-mutMmutM
rpmBG-mutM	-	mutM1	-	rpmBG-mutMmutM1
rpmBG-mutM	-	yicR-rpmBG	-	rpmBG-mutMyicR-rpmBG
rpmBG-mutM	-	yicR-rpmBG-mutM	-	rpmBG-mutMyicR-rpmBG-mutM
bioP	+	metR	-	bioPmetR
dmsC	+	dmsABC	+	dmsCdmsABC
nlpD-rpoS	-	rpoS	-	nlpD-rpoSrpoS
ldcA1	-	emtA1	+	ldcA1emtA1
sra	-	bdm-sra	-	srabdm-sra
csrAp3 // csrA	-	csrA	-	csrAp3 // csrAcsrA
nanXY	+	nanY	+	nanXYnanY
chiX	+	ybaP1	-	chiXybaP1
yhhN1	+	yhhM2	-	yhhN1yhhM2
yhhN2	+	yhhM1	-	yhhN2yhhM1
ascB	+	ascFB	+	ascBascFB
otsA	-	otsBA	-	otsAotsBA
yfgM	-	bamB-der	-	yfgMbamB-der
asnC	-	asnC-mioC	-	asnCasnC-mioC
asnC	-	asnC-mioC-mnmG	-	asnCasnC-mioC-mnmG
rpoS	-	nlpD-rpoS	-	rpoSnlpD-rpoS
mutY-yggX	+	yggX-mltC-nupG	+	mutY-yggXyggX-mltC-nupG
mutY-yggX	+	mutY-yggX-mltC	+	mutY-yggXmutY-yggX-mltC
mutY-yggX	+	yggX-mltC	+	mutY-yggXyggX-mltC
mutY-yggX	+	yggX	+	mutY-yggXyggX
mutY-yggX	+	mutY-yggX-mltC-nupG	+	mutY-yggXmutY-yggX-mltC-nupG
damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-	damX-dam-rpe-gph-trpSdam-rpe-gph-trpS
damX-dam-rpe-gph-trpS	-	rpe-gph-trpS	-	damX-dam-rpe-gph-trpSrpe-gph-trpS
damX-dam-rpe-gph-trpS	-	trpS	-	damX-dam-rpe-gph-trpStrpS
damX-dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-	damX-dam-rpe-gph-trpSaroKB-damX-dam-rpe-gph-trpS
rapA	-	hepA	-	rapAhepA
rapA	-	rapA-rluA	-	rapArapA-rluA
rapA	-	polB	-	rapApolB
yfaVU	-	yfaXWVU	-	yfaVUyfaXWVU
btuD	-	btuCED	-	btuDbtuCED
yeiR-lpxT1	+	lpxT	+	yeiR-lpxT1lpxT
yhdJ1	+	dusB-fis	+	yhdJ1dusB-fis
ybaN3	+	priC-ybaM	-	ybaN3priC-ybaM
aes	-	hemH	+	aeshemH
aes	-	gsk	+	aesgsk
ybaQ	+	ybaP1	-	ybaQybaP1
nudG1	+	ynjH	-	nudG1ynjH
sdiA	-	sdiA1	-	sdiAsdiA1
sdiA	-	sdsN	+	sdiAsdsN
rtcR	+	glpEGR	-	rtcRglpEGR
rtcR	+	glpR	-	rtcRglpR
rtcR	+	glpGR	-	rtcRglpGR
yfbO2	+	yfbN1	-	yfbO2yfbN1
yfbO3	+	yfbN2	-	yfbO3yfbN2
yfbO3	+	yfbP1	+	yfbO3yfbP1
yqeF2	-	yqeG1	+	yqeF2yqeG1
rimP-nusA-infB	-	metY-yhbC-nusA-infB	-	rimP-nusA-infBmetY-yhbC-nusA-infB
rimP-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rimP-nusA-infBmetY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
rimP-nusA-infB	-	nusA-infB	-	rimP-nusA-infBnusA-infB
rimP-nusA-infB	-	metY	-	rimP-nusA-infBmetY
moaBCDE	+	moaABCDE	+	moaBCDEmoaABCDE
yfiR-dgcN-yfiB	+	rpsP-rimM-trmD-rplS	-	yfiR-dgcN-yfiBrpsP-rimM-trmD-rplS
yfiR-dgcN-yfiB	+	yfiRN	+	yfiR-dgcN-yfiByfiRN
pdhR-aceEF-lpdA	+	aceEF	+	pdhR-aceEF-lpdAaceEF
pdhR-aceEF-lpdA	+	lpdA	+	pdhR-aceEF-lpdAlpdA
nrdG	-	nrdDG	-	nrdGnrdDG
leuL	-	leuLABCD	-	leuLleuLABCD
rhtC1	+	recQ	+	rhtC1recQ
mnmG-rsmG	-	asnC-mioC-mnmG	-	mnmG-rsmGasnC-mioC-mnmG
fucR	+	fucPIKUR	+	fucRfucPIKUR
alsRBACE	-	alsK1	-	alsRBACEalsK1
alsRBACE	-	alsBACE	-	alsRBACEalsBACE
ilvEDA	+	ilvLXG_1G_2MEDA	+	ilvEDAilvLXG_1G_2MEDA
ilvEDA	+	ilvA	+	ilvEDAilvA
hisLGDCBHAFI	+	hisL	+	hisLGDCBHAFIhisL
cmk-rpsA	+	rpsA-ihfB	+	cmk-rpsArpsA-ihfB
ydhYVW	-	ydhYVWXUT	-	ydhYVWydhYVWXUT
yhbY	+	rlmE-ftsH	-	yhbYrlmE-ftsH
tig1	+	tig	+	tig1tig
rnc-era-recO-pdxJ-acpS	-	rnc-era	-	rnc-era-recO-pdxJ-acpSrnc-era
rnc-era-recO-pdxJ-acpS	-	pdxJ-acpS	-	rnc-era-recO-pdxJ-acpSpdxJ-acpS
tdcBCDEFG	-	tdcABCDEFG	-	tdcBCDEFGtdcABCDEFG
ftsQAZ	+	stfZ	-	ftsQAZstfZ
ftsQAZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQAZrsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ftsQAZ	+	ftsZ	+	ftsQAZftsZ
ftsQAZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQAZmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ftsQAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQAZftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
relBE-hokD	-	relBE	-	relBE-hokDrelBE
relBE-hokD	-	hokD	-	relBE-hokDhokD
sraB	+	yceF1	-	sraByceF1
hypABCDE-fhlA	+	hypBCDE-fhlA	+	hypABCDE-fhlAhypBCDE-fhlA
hypABCDE-fhlA	+	hypBCDE	+	hypABCDE-fhlAhypBCDE
hypABCDE-fhlA	+	hypABCDE	+	hypABCDE-fhlAhypABCDE
purR	+	ydhB1	-	purRydhB1
glgAP	-	glgCAP	-	glgAPglgCAP
glgAP	-	glgBXCAP	-	glgAPglgBXCAP
yhhX1	-	ryhB	-	yhhX1ryhB
topA	+	yciN1	-	topAyciN1
yqeC1	-	mocA1	+	yqeC1mocA1
yjfIJ	+	nsrR-rnr-rlmB-yjfI	+	yjfIJnsrR-rnr-rlmB-yjfI
yceH1	+	rimJ	+	yceH1rimJ
deoBD	+	deoCABD	+	deoBDdeoCABD
deoBD	+	yjjJ2	+	deoBDyjjJ2
deoBD	+	deoABD	+	deoBDdeoABD
dnaB	+	alr	+	dnaBalr
dnaB	+	qorA	-	dnaBqorA
yhgF1	+	greB1	+	yhgF1greB1
citT2	-	citCDEFXG	-	citT2citCDEFXG
yibN1	-	yibN-grxC-secB-gpsA	-	yibN1yibN-grxC-secB-gpsA
recF	-	dnaN-recF	-	recFdnaN-recF
recF	-	dnaAN-recF	-	recFdnaAN-recF
recF	-	gyrB	-	recFgyrB
narUZYWV	-	narU	-	narUZYWVnarU
narUZYWV	-	narZYWV	-	narUZYWVnarZYWV
narUZYWV	-	narWV	-	narUZYWVnarWV
tapT-patZ	+	patZ	+	tapT-patZpatZ
hydN-hypF	-	hypF	-	hydN-hypFhypF
yggDC	-	cmtBA-yggPF-fumE-yggC	-	yggDCcmtBA-yggPF-fumE-yggC
sanA-yeiS1	+	cdd	+	sanA-yeiS1cdd
ubiD1	+	fre	+	ubiD1fre
ubiD2	+	rfaH1	-	ubiD2rfaH1
clsC	+	ymdAB-clsC	+	clsCymdAB-clsC
clsC	+	ymdB-clsC	+	clsCymdB-clsC
clsC	+	ymdAB	+	clsCymdAB
dgcQ	-	yedP	+	dgcQyedP
tag-yiaC	+	bisC1	-	tag-yiaCbisC1
dnaN-recF	-	dnaAN-recF	-	dnaN-recFdnaAN-recF
dnaN-recF	-	gyrB	-	dnaN-recFgyrB
dnaN-recF	-	recF	-	dnaN-recFrecF
argT-hisJQMP	-	hisJQMP	-	argT-hisJQMPhisJQMP
mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKCyjeFE-amiB-mutL-miaA-hfq-hflXKC
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+	mutL-miaA-hfq-hflXKChfq-hflXKC
mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKCmiaA-hfq-hflXKC
mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+	mutL-miaA-hfq-hflXKChfq-hflXKC1
rpmF-plsX-fabHDG	+	fabG-acpP	+	rpmF-plsX-fabHDGfabG-acpP
rpmF-plsX-fabHDG	+	yceD-rpmF	+	rpmF-plsX-fabHDGyceD-rpmF
rpmF-plsX-fabHDG	+	fabDG-acpP	+	rpmF-plsX-fabHDGfabDG-acpP
rpmF-plsX-fabHDG	+	plsX-fabHDG	+	rpmF-plsX-fabHDGplsX-fabHDG
rpmF-plsX-fabHDG	+	fabHDG	+	rpmF-plsX-fabHDGfabHDG
sdiA1	-	sdiA	-	sdiA1sdiA
sdiA2	-	sdsN	+	sdiA2sdsN
yhdH2	+	csrD1	-	yhdH2csrD1
hsdMS	-	hsdRMS	-	hsdMShsdRMS
galK	-	galETK	-	galKgalETK
galK	-	galETKM	-	galKgalETKM
galK	-	galET	-	galKgalET
ilvLXG_1G_2MEDA	+	ilvA	+	ilvLXG_1G_2MEDAilvA
glyU1	-	glyU	-	glyU1glyU
mreB	-	mreBCD	-	mreBmreBCD
mreB	-	mreCD	-	mreBmreCD
rhoL-rho	+	rhoL	+	rhoL-rhorhoL
lon	+	clpX-lon	+	lonclpX-lon
ymiA-yciX	+	acnA	+	ymiA-yciXacnA
glnAZLG	-	glnLG	-	glnAZLGglnLG
glnAZLG	-	glnAZ	-	glnAZLGglnAZ
menA-rraA	-	rraA	-	menA-rraArraA
menA-rraA	-	hslVU	-	menA-rraAhslVU
ydiNB-aroD	+	aroD	+	ydiNB-aroDaroD
lsrK	-	lsrRK	-	lsrKlsrRK
pmrD1	-	arnBCADTEF	+	pmrD1arnBCADTEF
fimAICDFGH	+	fimE	+	fimAICDFGHfimE
malPQ	-	malQ	-	malPQmalQ
galETK	-	galETKM	-	galETKgalETKM
galETK	-	galET	-	galETKgalET
galETK	-	galE	-	galETKgalE
ynfK1	-	clcB	+	ynfK1clcB
yjbQR	+	uvrA	-	yjbQRuvrA
leuQPV	-	leuV1	-	leuQPVleuV1
yfhG	-	glrR-glnB	-	yfhGglrR-glnB
creABC	+	creABCD	+	creABCcreABCD
creABC	+	rob	-	creABCrob
nudB-yebC-ruvC	-	yebC-ruvC	-	nudB-yebC-ruvCyebC-ruvC
nudB-yebC-ruvC	-	ruvC	-	nudB-yebC-ruvCruvC
nudB-yebC-ruvC	-	yebB	+	nudB-yebC-ruvCyebB
nudB-yebC-ruvC	-	aspS	-	nudB-yebC-ruvCaspS
ldrA1	-	rdlA1	+	ldrA1rdlA1
acrB	-	acrAB	-	acrBacrAB
nupG	+	yggX-mltC-nupG	+	nupGyggX-mltC-nupG
nupG	+	mutY-yggX-mltC-nupG	+	nupGmutY-yggX-mltC-nupG
cydDC	-	trxB	-	cydDCtrxB
yebC-ruvC	-	ruvC	-	yebC-ruvCruvC
yebC-ruvC	-	yebB	+	yebC-ruvCyebB
rlmI1	-	yccX1	+	rlmI1yccX1
nrdR-ribDE-nusB-thiL-pgpA	+	yajI1	-	nrdR-ribDE-nusB-thiL-pgpAyajI1
gatYZABCD	-	gatZABCD	-	gatYZABCDgatZABCD
pdxK	-	yfeKS	+	pdxKyfeKS
uof-fur	-	fur	-	uof-furfur
uof-fur	-	fldA-uof-fur	-	uof-furfldA-uof-fur
psd-mscM	-	rsgA1	-	psd-mscMrsgA1
galETKM	-	galETK	-	galETKMgalETK
galETKM	-	galET	-	galETKMgalET
galETKM	-	galE	-	galETKMgalE
ryeA	+	sdsR	-	ryeAsdsR
ryeA	+	sdsR-pphA	-	ryeAsdsR-pphA
yqfA2	-	yqfB	-	yqfA2yqfB
glrR-glnB	-	glnB	-	glrR-glnBglnB
glrR-glnB	-	yfhA	-	glrR-glnByfhA
pdxB-usg-truA-dedA	-	usg-truA-dedA	-	pdxB-usg-truA-dedAusg-truA-dedA
efp	+	epmB1	-	efpepmB1
dkgB	+	yafC1	-	dkgByafC1
ykfGH-yafW-ykfI	-	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	-	ykfGH-yafW-ykfIyafY-ykfBF-yafX-ykfGH-yafW-ykfI
ykfGH-yafW-ykfI	-	ykfBF-yafX-ykfGH-yafW-ykfI	-	ykfGH-yafW-ykfIykfBF-yafX-ykfGH-yafW-ykfI
zapC	+	ycbX	-	zapCycbX
fimB	+	fimB1	+	fimBfimB1
tpke70	-	lpxP	+	tpke70lpxP
yjjY1	+	arcA	-	yjjY1arcA
fliE	-	intG	+	fliEintG
smrB1	+	prmB-aroC-mepA-yfcA-epmC-yfcL	-	smrB1prmB-aroC-mepA-yfcA-epmC-yfcL
rplKAJL-rpoBC	+	rplL	+	rplKAJL-rpoBCrplL
rplKAJL-rpoBC	+	rplJL-rpoBC	+	rplKAJL-rpoBCrplJL-rpoBC
rplKAJL-rpoBC	+	secE-nusG	+	rplKAJL-rpoBCsecE-nusG
gcvR	+	bcp	+	gcvRbcp
pnp	-	sraG	+	pnpsraG
pnp	-	nlpI1	-	pnpnlpI1
pnp	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	pnpmetY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
pnp	-	rpsO-pnp	-	pnprpsO-pnp
yfdRST	+	ypdJ	+	yfdRSTypdJ
phoQ	-	phoPQ	-	phoQphoPQ
mreBCD	-	mreCD	-	mreBCDmreCD
mreBCD	-	mreB	-	mreBCDmreB
serC	+	serC-aroA	+	serCserC-aroA
manXYZ-yobD	+	yobD	+	manXYZ-yobDyobD
gadW	-	gadXW	-	gadWgadXW
gntXY	+	bioH	-	gntXYbioH
gntXY	+	nfuA	+	gntXYnfuA
yiaWV	-	yiaU1	+	yiaWVyiaU1
edd-eda	-	eda	-	edd-edaeda
osmF-yehYXW	-	osmF-yehYXW1	-	osmF-yehYXWosmF-yehYXW1
yidP	+	yidE1	-	yidPyidE1
mreCD	-	mreBCD	-	mreCDmreBCD
mreCD	-	mreB	-	mreCDmreB
